kepid,rad,rade,rad_true,vsini,vsini_true,period,cosi_true
0,1.7052468539155863,0.06816821490059112,1.7042053725147779,5.81929131063281,6.310263593198656,9.804759371381664,0.6964691855978616
1,1.3823914346343378,0.05453103351759786,1.3632758379399466,15.027316300867206,16.336481615169788,4.045424263664151,0.28613933495037946
2,1.3428020253496689,0.05445361508702851,1.3613403771757129,17.90263014147325,17.911290608214834,3.745031177025185,0.2268514535642031
3,1.361012616101581,0.0556186354819563,1.3904658870489075,7.57156986771498,6.59475688524537,8.899600845401805,0.5513147690828912
4,0.9528728495917644,0.03610794357583008,0.902698589395752,1.1275112368769502,2.87858158606932,11.018943971714968,0.7194689697855631
5,1.4330466677823486,0.05463095581820127,1.3657738954550318,2.734228360212427,3.4000853272318143,18.4138098333866,0.42310646012446096
6,1.1066474088433278,0.044079341288512465,1.1019835322128115,1.5474215005102654,1.5114809980063468,7.199993024210981,0.9807641983846155
7,1.843689783287403,0.07771284944474542,1.9428212361186357,7.130149388354773,6.280046504830335,11.405353150081181,0.6848297385848633
8,1.3802460871806648,0.057142600825655906,1.4285650206413976,23.934310122763765,23.5514398837369,2.6906077607018495,0.48093190148436094
9,1.4825790302343516,0.058511829712719454,1.4627957428179863,6.927738791017671,6.60227516283554,10.3115976715717,0.3921175181941505
10,2.2404398742642306,0.08427794998699657,2.106948749674914,9.074368101011405,9.298680886982305,10.76741333371917,0.3431780161508694
11,1.8858914334919898,0.07793228473123825,1.9483071182809564,5.959154915177687,5.477280658158972,12.317685267097366,0.7290497073840416
12,1.280507539093845,0.053124137154185,1.328103428854625,4.416770263186982,3.402466379653521,17.74757264879493,0.4385722446796244
13,2.2058052428193426,0.08858471731115511,2.2146179327788778,8.583070405126561,10.292062181675764,10.86700333473197,0.05967789660956835
14,1.2635523815184433,0.052487033364647266,1.3121758341161815,6.086762318975572,5.3582269181404385,11.365846960506666,0.3980442553304314
15,1.3964286283825527,0.05469659483021194,1.3674148707552984,10.188904218550828,10.287664024417541,4.537852973888995,0.7379954057320357
16,0.9738573923471605,0.04304693034740031,1.0761732586850077,2.0287292907362415,2.5587181549507556,20.92150913042511,0.18249173045349998
17,1.2721652658932254,0.04955119235197489,1.2387798087993722,0.5191221740516578,2.9621979599309727,20.82948867194325,0.17545175614749253
18,1.343687730053027,0.054347522983880514,1.358688074597013,2.2899293122361684,3.670280635890468,15.863732929552265,0.5315513738418384
19,1.9266849162365025,0.07633406082025351,1.9083515205063377,7.640100996754281,5.94204200450703,13.760006527387242,0.5318275870968661
20,1.3634747654741979,0.05649459739366397,1.4123649348415992,21.929064666113202,22.617613198576755,2.4421374958228954,0.6344009585513211
21,1.3754977664485946,0.053232746045597745,1.3308186511399436,0.9174872241001812,2.0022559953532633,17.74488555863844,0.8494317940777896
22,1.5303724887593413,0.059530957468107035,1.4882739367026758,4.6577583780837335,5.114184334227326,10.148844846689508,0.7244553248606352
23,1.0982610672208375,0.0454376421088365,1.1359410527209126,11.635774379024278,12.380921600882871,3.6745449653792392,0.6110235106775829
24,1.2618861920699538,0.05073411753612571,1.2683529384031427,12.481433650191152,12.357075017572237,3.5905488202665414,0.7224433825702216
25,1.4558777284827906,0.055396693679730456,1.3849173419932614,7.6175072826191155,6.100533604372504,10.869882505739252,0.3229589138531782
26,1.1023031379532475,0.04468728011454583,1.1171820028636457,2.809939087103867,3.396555037956081,15.51352606055093,0.3617886556223141
27,2.161609001511871,0.09252555523408316,2.313138880852079,37.293636092030454,37.13934604147858,3.0678626163041987,0.22826323087895561
28,1.1824807309302974,0.05009431931659331,1.2523579829148328,11.840862398387628,12.988099539627864,4.663161327944445,0.29371404638882936
29,1.5140585326166542,0.062084996110097886,1.552124902752447,7.421379851195754,5.901213408989222,10.323441721411038,0.6309761238544878
30,2.294453905487834,0.09480075922172043,2.3700189805430107,10.247976148004334,10.058932705590223,11.869654095024972,0.09210493994507518
31,1.1312376204711798,0.043150672206760304,1.0787668051690076,6.359103106289289,7.4409222295799085,6.609081226696589,0.43370117267952824
32,1.485039691472572,0.0604809942037308,1.51202485509327,9.149632790721586,8.245326570586943,8.372336777930604,0.4308627633296438
33,1.91493517722756,0.0710618993542145,1.7765474838553625,20.463935161348743,19.26394751276613,4.057509468459956,0.4936850976503062
34,1.191802418801223,0.04466535119469017,1.1166337798672543,3.440949338418796,3.2794929750111605,15.586415276422704,0.425830290295828
35,1.1539684213117194,0.049144308215024475,1.228607705375612,8.195902507713534,9.83529947525431,6.003930820926945,0.3122612229724653
36,1.4498299499289204,0.05542155792856017,1.3855389482140041,6.818535062004528,5.033366248488053,12.597506513826607,0.4263513069628082
37,1.377070359488388,0.05599903974527341,1.3999759936318352,2.4674052494151577,2.1572827287886316,14.751027447505448,0.8933891631171348
38,1.9740436579422194,0.07676305928045771,1.9190764820114428,4.281974926055166,3.1115206286937123,10.28126055999955,0.9441600182038796
39,2.5089255583678822,0.09873842500829082,2.4684606252072703,22.908497766554976,23.459390971672118,4.6046309512978585,0.5018366758843366
40,1.3160855183517008,0.05315224783535446,1.3288061958838615,4.624735334076677,5.0233592588105775,10.458354246048536,0.6239529517921112
41,1.1634483078525197,0.04509556413015599,1.1273891032538996,6.809400932097328,6.698947822806763,8.457325594129601,0.11561839507929572
42,2.5741041678430445,0.09870739288985998,2.4676848222464995,34.271559952226156,33.15815827419028,3.5706471935807236,0.3172854818203209
43,2.350026463021907,0.09317011879957654,2.3292529699894136,7.6060714831037055,7.463081454936544,14.36747950331525,0.4148262119536318
44,1.8649130420105378,0.07175070150408086,1.7937675376020215,2.073885286110776,3.3307190986444577,13.610024440565837,0.8663091578833659
45,1.5521581853285995,0.055058829071220616,1.3764707267805154,5.631948637278146,5.369959440494805,12.555006750334845,0.2504553653965067
46,1.1754147552019443,0.04690880263911093,1.1727200659777732,4.008304075960353,2.378769881449587,21.83918999674819,0.48303426426270435
47,1.116044946163219,0.0440081069499702,1.100202673749255,0.7465723712374341,0.6807660887746029,13.84494440101204,0.985559785610705
48,1.211330236097752,0.0481449141434005,1.2036228535850124,3.428570001547623,3.2991844777711403,15.771521800254593,0.5194851192598093
49,1.6425438667524677,0.06519039163882248,1.6297597909705621,1.8285703461315168,3.0911140889153366,21.07726878530212,0.6128945257629677
50,1.5489735170940853,0.06029008068927552,1.507252017231888,6.697281959813323,8.100271047536163,9.345261700750664,0.12062866599032374
51,1.9899808690938534,0.07817839661941765,1.9544599154854412,4.980977868854924,5.618670007668166,9.91108450262941,0.8263408005068332
52,1.269342401373658,0.05234438054572713,1.3086095136431783,2.48126993355532,2.8077875801740433,18.809238898552277,0.6030601284109274
53,1.7871472603946073,0.07256911277746741,1.8142278194366854,7.449762039568364,7.345701304558085,10.475957466520361,0.5450680064664649
